"canceled_service","senior_citizen","spouse_partner","dependents","cellular_service","avg_call_mins","avg_intl_mins","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_bill","payment_method","months_with_company","monthly_charges"
"no","no","no","no","single_line",307,105,"digital","no","yes","yes","no","no","no","month_to_month","yes","credit_card",33,66.4
"no","no","yes","yes","single_line",270,126,"digital","yes","no","no","no","no","yes","one_year","no","mailed_check",9,48.6
"no","no","yes","no","multiple_lines",349,130,"fiber_optic","yes","yes","yes","no","no","yes","one_year","yes","electronic_check",71,109.6
"yes","yes","yes","no","multiple_lines",357,59,"fiber_optic","yes","yes","no","no","no","yes","month_to_month","yes","credit_card",7,94.7
"no","no","no","yes","multiple_lines",370,181,"fiber_optic","yes","no","yes","yes","no","no","two_year","yes","credit_card",66,90.95
"no","yes","no","no","single_line",390,102,"digital","no","yes","yes","no","no","no","month_to_month","yes","electronic_check",7,64.95
"no","yes","yes","no","multiple_lines",369,89,"fiber_optic","yes","yes","yes","no","yes","no","month_to_month","no","bank_draft",50,108.75
"no","no","no","no","multiple_lines",325,142,"fiber_optic","yes","yes","yes","yes","yes","no","month_to_month","yes","bank_draft",17,106.65
"no","no","yes","yes","single_line",307,74,"fiber_optic","no","no","no","yes","yes","yes","month_to_month","yes","electronic_check",9,75.85
"no","yes","yes","yes","multiple_lines",308,151,"fiber_optic","no","yes","yes","no","yes","no","one_year","yes","electronic_check",65,107.45
"no","no","yes","no","multiple_lines",292,62,"fiber_optic","yes","no","yes","no","yes","yes","two_year","yes","credit_card",72,105
"yes","no","yes","yes","single_line",360,77,"fiber_optic","no","no","no","no","no","no","month_to_month","no","mailed_check",1,89.15
"yes","no","yes","no","multiple_lines",498,53,"fiber_optic","no","yes","yes","no","yes","yes","month_to_month","yes","electronic_check",33,104.4
"yes","no","no","no","single_line",238,116,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",3,78.5
"no","no","yes","no","single_line",253,58,"fiber_optic","yes","yes","yes","no","yes","no","one_year","yes","bank_draft",41,104.45
"no","no","yes","no","multiple_lines",292,79,"digital","yes","yes","no","yes","no","yes","two_year","no","credit_card",71,73.5
"no","no","yes","no","single_line",311,117,"digital","no","no","yes","yes","no","no","month_to_month","yes","credit_card",31,66.4
"no","no","no","no","multiple_lines",367,94,"digital","yes","yes","yes","yes","no","yes","two_year","no","bank_draft",72,92
"no","no","yes","yes","single_line",298,117,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","credit_card",1,69.95
"no","no","yes","no","single_line",429,111,"digital","yes","no","yes","yes","yes","yes","one_year","no","mailed_check",21,80.9
"yes","no","no","yes","multiple_lines",417,114,"fiber_optic","no","no","yes","yes","yes","no","month_to_month","yes","mailed_check",4,87.1
"no","yes","no","no","multiple_lines",452,154,"fiber_optic","yes","no","yes","yes","no","no","month_to_month","yes","bank_draft",64,108.95
"no","no","yes","yes","single_line",383,131,"fiber_optic","no","no","no","no","yes","no","month_to_month","yes","mailed_check",4,69.55
"yes","no","no","no","multiple_lines",377,110,"fiber_optic","no","no","yes","no","yes","yes","month_to_month","yes","credit_card",29,98.6
"no","no","no","no","single_line",378,85,"digital","no","yes","no","no","no","no","one_year","no","credit_card",14,51.45
"no","no","yes","no","single_line",364,99,"digital","yes","no","no","yes","yes","yes","one_year","no","mailed_check",28,54.35
"no","yes","no","no","single_line",318,103,"fiber_optic","no","no","no","no","no","no","month_to_month","yes","electronic_check",1,70.2
"yes","no","no","no","single_line",305,83,"fiber_optic","yes","yes","yes","no","yes","yes","month_to_month","yes","electronic_check",10,104.4
"yes","no","yes","no","multiple_lines",414,105,"fiber_optic","yes","yes","yes","no","yes","no","month_to_month","no","bank_draft",9,91.75
"yes","no","yes","yes","multiple_lines",425,95,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",42,94.2
"yes","no","no","no","multiple_lines",278,81,"fiber_optic","no","yes","no","no","no","no","month_to_month","yes","electronic_check",43,101.4
"no","no","yes","no","multiple_lines",361,168,"fiber_optic","no","no","yes","no","yes","yes","one_year","no","credit_card",58,100.35
"no","no","yes","no","single_line",411,105,"fiber_optic","no","yes","no","yes","yes","no","one_year","yes","electronic_check",68,100.3
"yes","yes","yes","no","multiple_lines",435,124,"fiber_optic","yes","no","no","no","no","yes","month_to_month","no","electronic_check",40,101.85
"no","no","yes","no","multiple_lines",274,141,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","electronic_check",66,105.2
"no","yes","no","no","multiple_lines",450,161,"fiber_optic","no","yes","no","yes","no","no","month_to_month","yes","credit_card",18,103.6
"no","yes","no","no","single_line",305,76,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",5,71.45
"no","no","no","no","single_line",357,95,"fiber_optic","no","no","no","no","no","yes","month_to_month","no","bank_draft",7,69.15
"yes","no","yes","no","multiple_lines",456,92,"fiber_optic","no","yes","yes","yes","yes","no","one_year","yes","electronic_check",70,109.5
"no","no","yes","yes","single_line",283,60,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",1,90.1
"no","yes","yes","no","single_line",314,56,"digital","yes","yes","no","yes","yes","no","one_year","yes","bank_draft",71,71
"no","yes","no","no","multiple_lines",383,100,"digital","no","no","yes","no","no","no","month_to_month","no","electronic_check",42,55.65
"yes","no","no","no","single_line",460,97,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","credit_card",2,69.8
"no","no","no","no","single_line",248,102,"digital","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",1,44.9
"no","yes","no","no","single_line",344,93,"fiber_optic","yes","no","no","no","no","no","month_to_month","yes","electronic_check",19,87.3
"yes","no","yes","no","single_line",326,45,"fiber_optic","no","yes","no","yes","yes","no","month_to_month","yes","electronic_check",10,99.85
"yes","no","yes","yes","multiple_lines",382,145,"fiber_optic","yes","no","no","yes","no","yes","one_year","yes","credit_card",67,94.35
"no","no","yes","yes","single_line",291,78,"fiber_optic","yes","yes","no","yes","yes","no","two_year","no","bank_draft",68,95.1
"yes","no","no","no","multiple_lines",339,90,"fiber_optic","no","no","no","no","yes","yes","month_to_month","yes","mailed_check",13,75
"no","no","no","no","multiple_lines",320,144,"fiber_optic","no","no","no","no","no","yes","month_to_month","yes","electronic_check",13,85.95
"no","no","yes","no","multiple_lines",404,165,"fiber_optic","yes","no","yes","no","yes","no","two_year","yes","credit_card",64,94.6
"no","no","no","no","single_line",266,93,"digital","no","no","no","no","yes","yes","month_to_month","yes","bank_draft",12,45
"yes","no","no","no","single_line",195,87,"digital","no","no","no","no","yes","yes","month_to_month","yes","electronic_check",37,64.75
"no","no","yes","yes","multiple_lines",395,155,"fiber_optic","yes","yes","yes","no","no","yes","two_year","yes","bank_draft",72,110.3
"no","no","yes","no","multiple_lines",430,93,"fiber_optic","no","yes","yes","no","no","yes","month_to_month","yes","bank_draft",45,107.75
